LMS.exe_num_handles,LMS.exe_paged_pool,LMS.exe_pagefile,LMS.exe_peak_paged_pool,LMS.exe_peak_pagefile,LMS.exe_peak_wset,LMS.exe_user,OfficeClickToRun.exe_paged_pool,OfficeClickToRun.exe_peak_nonpaged_pool,SecurityHealthService.exe_num_handles,SecurityHealthService.exe_paged_pool,SecurityHealthService.exe_pagefile,SecurityHealthService.exe_peak_nonpaged_pool,SecurityHealthService.exe_peak_pagefile,SecurityHealthService.exe_peak_wset,SecurityHealthService.exe_read_bytes,SecurityHealthService.exe_read_count,SecurityHealthService.exe_user,SecurityHealthService.exe_write_bytes,SecurityHealthService.exe_write_count,SecurityHealthSystray.exe_ionice,SecurityHealthSystray.exe_nonpaged_pool,SecurityHealthSystray.exe_num_handles,SecurityHealthSystray.exe_paged_pool,SecurityHealthSystray.exe_pagefile,SecurityHealthSystray.exe_peak_pagefile,SecurityHealthSystray.exe_peak_wset,SecurityHealthSystray.exe_rss,SecurityHealthSystray.exe_system,SecurityHealthSystray.exe_user,SgrmBroker.exe_num_handles,SgrmBroker.exe_peak_paged_pool,SgrmBroker.exe_peak_pagefile,SgrmBroker.exe_peak_wset,ShellExperienceHost.exe_ionice,ShellExperienceHost.exe_num_handles,ShellExperienceHost.exe_paged_pool,ShellExperienceHost.exe_pagefile,ShellExperienceHost.exe_peak_pagefile,ShellExperienceHost.exe_peak_wset,ShellExperienceHost.exe_system,ShellExperienceHost.exe_user,StartMenuExperienceHost.exe_peak_nonpaged_pool,calc.exe_nice,calc.exe_num_handles,ctfmon.exe_ionice,ctfmon.exe_num_handles,ctfmon.exe_paged_pool,ctfmon.exe_pagefile,ctfmon.exe_peak_nonpaged_pool,ctfmon.exe_peak_pagefile,ctfmon.exe_peak_wset,ctfmon.exe_rss,explorer.exe_peak_wset,lsass.exe_connections_info,lsass.exe_num_handles,lsass.exe_paged_pool,lsass.exe_pagefile,lsass.exe_peak_nonpaged_pool,lsass.exe_peak_paged_pool,lsass.exe_peak_pagefile,lsass.exe_peak_wset,mimikatz.exe_peak_nonpaged_pool,mshta.exe_other_count,msiexec.exe_connections_info,powershell.exe_connections_info,powershell.exe_ionice,powershell.exe_nice,powershell.exe_num_handles,powershell.exe_num_page_faults,powershell.exe_other_count,powershell.exe_paged_pool,powershell.exe_pagefile,powershell.exe_peak_nonpaged_pool,powershell.exe_peak_pagefile,powershell.exe_peak_wset,powershell.exe_private,powershell.exe_read_bytes,powershell.exe_read_count,powershell.exe_rss,powershell.exe_system,powershell.exe_user,powershell.exe_vms,powershell.exe_write_bytes,powershell.exe_write_count,powershell.exe_wset,python.exe_connections_info,regsvr32.exe_num_handles,ruby.exe_connections_info,ruby.exe_num_handles,ruby.exe_paged_pool,ruby.exe_pagefile,ruby.exe_peak_nonpaged_pool,ruby.exe_peak_paged_pool,ruby.exe_peak_pagefile,ruby.exe_peak_wset,rundll32.exe_num_handles,services.exe_connections_info,services.exe_memory_percent,services.exe_nonpaged_pool,services.exe_num_handles,services.exe_paged_pool,services.exe_pagefile,services.exe_peak_nonpaged_pool,services.exe_peak_pagefile,services.exe_peak_wset,sihost.exe_ionice,sihost.exe_num_handles,sihost.exe_paged_pool,sihost.exe_pagefile,sihost.exe_peak_nonpaged_pool,sihost.exe_peak_pagefile,sihost.exe_peak_wset,smss.exe_pagefile,smss.exe_peak_pagefile,smss.exe_peak_wset,smss.exe_rss,smss.exe_system,spoolsv.exe_connections_info,spoolsv.exe_num_handles,spoolsv.exe_paged_pool,spoolsv.exe_pagefile,spoolsv.exe_peak_nonpaged_pool,spoolsv.exe_peak_pagefile,spoolsv.exe_peak_wset,spoolsv.exe_system,spoolsv.exe_user,suspecious_name_cnt,taskhostw.exe_ionice,taskhostw.exe_num_handles,taskhostw.exe_paged_pool,taskhostw.exe_peak_wset,wininit.exe_connections_info,wininit.exe_num_handles,wininit.exe_paged_pool,wininit.exe_pagefile,wininit.exe_peak_nonpaged_pool,wininit.exe_peak_pagefile,wininit.exe_peak_wset,wininit.exe_rss,wininit.exe_system,wininit.exe_user,winlogon.exe_num_handles,winlogon.exe_paged_pool,winlogon.exe_pagefile,winlogon.exe_peak_nonpaged_pool,winlogon.exe_peak_pagefile,winlogon.exe_peak_wset,winlogon.exe_system,winlogon.exe_user
964,362048,11550720,0,0,40272,0,1921400,165,2700,1003000,36741120,130,0,97840,8781400,0.0,0,20480,0.0,0,0,850,741320,10772480,0,48920,35164160,0.0,0,590,0,0,51240,0,4110,4375760,143933440,0,371880,0.0,0,205,0,0,0,2660,1157960,25804800,90,0,104700,74137600,2510940,0,6092,683520,40304640,128,0,0,156480,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168,816544,28164096,80,0,56128,0,2352,995552,31555584,88,0,116944,4472832,0,5216,4505600,0.0,0,2524,869408,57606144,152,0,131296,0.0,0,0,0,5395,3770760,373700,0,668,311392,5849088,56,0,27840,16760832,0.0,0,1116,591936,11075584,56,0,112640,0.0,0
1205,452560,14438400,0,0,50340,0,1537120,132,2160,802400,29392896,104,0,78272,7025120,-1046.0,0,16384,-1.0,0,0,680,593056,8617984,0,39136,28131328,-4843750.0,0,472,0,0,40992,0,3288,3500608,115146752,0,297504,-15000000.0,0,164,0,0,0,2128,926368,20643840,72,0,83760,59310080,2008752,0,7615,854400,50511872,160,0,0,195600,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,1020680,35205120,100,0,70160,0,2352,995552,31555584,88,0,116944,5591040,0,6520,5632000,3281250.0,0,3155,1086760,72007680,190,0,164120,23750000.0,0,0,0,4316,3016608,298960,0,835,389240,7311360,70,0,34800,20951040,937500.0,0,1395,739920,13844480,70,0,140800,7187500.0,0
964,362048,11550720,0,0,40272,0,1921400,165,2700,1003000,36741120,130,0,97840,8781400,1046.0,0,20480,1.0,0,0,850,741320,10772480,0,48920,35164160,4843750.0,0,590,0,0,51240,0,4110,4375760,143933440,0,371880,15000000.0,0,205,0,0,0,2660,1157960,25804800,90,0,104700,74137600,2510940,0,6092,683520,40435712,128,0,0,156480,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168,816544,28164096,80,0,56128,0,2940,1244440,39444480,110,0,146180,4472832,0,5216,4505600,-3281250.0,0,2524,869408,57606144,152,0,131296,-23750000.0,0,0,0,5395,3770760,373700,0,668,311392,5849088,56,0,27840,16760832,-937500.0,0,1116,591936,11075584,56,0,112640,-7187500.0,0
1205,452560,14438400,0,0,50340,0,1537120,132,2160,802400,29392896,104,0,78272,7025120,-1046.0,0,16384,-1.0,0,0,680,593056,8617984,0,39136,28131328,-4843750.0,0,472,0,0,40992,0,3288,3500608,115146752,0,297504,-15000000.0,0,164,0,0,0,2128,926368,20643840,72,0,83760,59310080,2008752,0,7615,854400,50544640,160,0,0,195600,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,1020680,35205120,100,0,70160,0,2352,995552,31555584,88,0,116944,5591040,0,6520,5632000,3281250.0,0,3155,1086760,72007680,190,0,164120,23750000.0,0,0,0,4316,3016608,298960,0,835,389240,7311360,70,0,34800,20951040,937500.0,0,1395,739920,13844480,70,0,140800,7187500.0,0
964,362048,11550720,0,0,40272,0,1921400,165,2700,1003000,36741120,130,0,97840,8781400,1046.0,0,20480,1.0,0,0,850,741320,10772480,0,48920,35164160,4843750.0,0,590,0,0,51240,0,4110,4375760,143933440,0,371880,15000000.0,0,205,0,0,0,2660,1157960,25804800,90,0,104700,74137600,2510940,0,6092,683520,40583168,128,0,0,156480,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168,816544,28164096,80,0,56128,0,2940,1244440,39444480,110,0,146180,4472832,0,5216,4505600,-3281250.0,0,2524,869408,57606144,152,0,131296,-23750000.0,0,0,0,5395,3770760,373700,0,668,311392,5849088,56,0,27840,16760832,-937500.0,0,1116,591936,11075584,56,0,112640,-7187500.0,0
964,362048,11550720,0,0,40272,0,1537120,132,2160,802400,29392896,104,0,78272,7025120,-1046.0,0,16384,-1.0,0,0,680,593056,8617984,0,39136,28131328,-4843750.0,0,472,0,0,40992,0,3288,3500608,115146752,0,297504,-15000000.0,0,164,0,0,0,2128,926368,20643840,72,0,83760,59310080,2008752,0,7615,854400,50913280,160,0,0,195600,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,1020680,35205120,100,0,70160,0,2352,995552,31555584,88,0,116944,5591040,0,6520,5632000,3281250.0,0,3155,1086760,72007680,190,0,164120,23750000.0,0,0,0,4316,3016608,298960,0,835,389240,7311360,70,0,34800,20951040,937500.0,0,1395,739920,13844480,70,0,140800,7187500.0,0
1205,452560,14438400,0,0,50340,0,1921400,165,2700,1003000,36741120,130,0,97840,8781400,1046.0,0,20480,1.0,0,0,850,741320,10772480,0,48920,35164160,4843750.0,0,590,0,0,51240,0,4110,4375760,143933440,0,371880,15000000.0,0,205,0,0,0,2660,1157960,25788416,90,0,104700,74137600,2510940,0,6088,683520,40599552,128,0,0,156480,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168,816544,28377088,80,0,56128,0,2940,1244440,39444480,110,0,146180,4472832,0,5216,4505600,-3281250.0,0,2524,869408,57606144,152,0,131296,-23750000.0,0,0,0,4996,3510552,345688,0,668,311392,5849088,56,0,27840,16760832,-937500.0,0,1116,591936,11075584,56,0,112640,-7187500.0,0
964,362048,11550720,0,0,40272,0,1537120,132,2160,802400,29392896,104,0,78272,7025120,-1046.0,0,16384,-1.0,0,0,680,593056,8617984,0,39136,28131328,-4843750.0,0,472,0,0,40992,0,3288,3500608,115146752,0,297504,-15000000.0,0,164,0,0,0,2128,926368,20627456,72,0,83760,59310080,2008752,0,7610,854400,50913280,160,0,0,195600,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,1020680,35471360,100,0,70160,0,2352,995552,31555584,88,0,116944,5591040,0,6520,5632000,3281250.0,0,3155,1086760,72007680,190,0,164120,23750000.0,0,0,0,4715,3276816,326972,0,835,389240,7311360,70,0,34800,20951040,937500.0,0,1395,739920,13844480,70,0,140800,7187500.0,0
1205,452560,14438400,0,0,50340,0,1921400,165,2700,1003000,36741120,130,0,97840,8781400,1046.0,0,20480,1.0,0,0,850,741320,10772480,0,48920,35164160,4843750.0,0,590,0,0,51240,0,4110,4375760,143933440,0,371880,15000000.0,0,205,0,0,0,2660,1157960,25784320,90,0,104700,74137600,2510940,0,6088,683520,40730624,128,0,0,156480,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168,816544,28377088,80,0,56128,0,2940,1244440,39444480,110,0,146180,4472832,0,5216,4505600,-3281250.0,0,2524,869408,57606144,152,0,131296,-23750000.0,0,0,0,4996,3510552,345688,0,668,311392,5849088,56,0,27840,16760832,-937500.0,0,1116,591936,11075584,56,0,112640,-7187500.0,0
964,362048,11550720,0,0,40272,0,1537120,132,2160,802400,29392896,104,0,78272,7025120,-1046.0,0,16384,-1.0,0,0,680,593056,8617984,0,39136,28131328,-4843750.0,0,472,0,0,40992,0,3288,3500608,115146752,0,297504,-15000000.0,0,164,0,0,0,2128,926368,20627456,72,0,83760,59310080,2008752,0,7609,854400,50913280,160,0,0,195600,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,1020680,35471360,100,0,70160,0,2352,995552,31555584,88,0,116944,5591040,0,6520,5632000,3281250.0,0,3155,1086760,72007680,190,0,164120,23750000.0,0,0,0,4712,3276816,326972,0,835,389240,7311360,70,0,34800,20951040,937500.0,0,1395,739920,13844480,70,0,140800,7187500.0,0
